date,Hour,Load_Station1,Load_Station2
1398/10/19,1,16.953212,10.297484
1398/10/20,1,12.169584,10.578504
1398/10/21,1,16.972888,9.733004
1398/10/22,1,17.280616,9.79654
1398/10/23,1,12.413904,9.860072
1398/10/24,1,22.679704,9.901616
1398/10/25,1,18.215164,10.175304
1398/10/26,1,13.122332,10.258388
1398/10/27,1,17.444848,10.732452
1398/10/28,1,12.420552,10.91328
1398/10/29,1,15.908512,10.678692
1398/10/30,1,15.486112,11.467988
1398/11/01,1,16.6386,11.27494
1398/11/02,1,11.72792,10.632264
1398/11/03,1,11.06734,10.170416
1398/11/04,1,16.553528,11.096552
1398/11/05,1,9.28036,10.783768
1398/11/06,1,16.978156,10.444104
1398/11/07,1,12.035464,9.86496
1398/11/08,1,7.74338,11.04768
1398/11/09,1,17.067428,10.666472
1398/11/10,1,15.880204,10.94016
1398/11/11,1,21.960608,11.304264
1398/11/12,1,12.355016,11.230952
1398/11/13,1,5.972888,11.431332
1398/11/14,1,6.279088,10.627376
1398/11/15,1,5.800988,11.147872
1398/11/16,1,11.402084,10.69824
1398/11/17,1,21.76626,11.055012
1398/11/18,1,19.5584,11.455768
1398/11/19,1,22.454692,11.174752
1398/11/20,1,21.770144,11.487536
1398/11/21,1,22.49926,11.509528
1398/11/22,1,18.812472,11.414228
1398/11/23,1,14.933092,10.962152
1398/11/24,1,17.93778,11.035464
1398/11/25,1,15.791852,11.201632
1398/11/26,1,16.928412,11.3287
1398/11/27,1,20.834668,11.294488
1398/11/28,1,22.273,11.38246
1398/11/29,1,17.038976,11.502196
1398/11/30,1,17.487248,11.433776
1398/12/01,1,17.315716,11.394676
1398/12/02,1,22.226124,11.057456
1398/12/03,1,23.315852,11.223624
1398/12/04,1,17.763384,11.040352
1398/12/05,1,10.961208,11.199188
1398/12/06,1,22.883148,11.465544
1398/12/07,1,22.83096,10.962152
1398/12/08,1,17.781584,10.248612
1398/12/09,1,18.246016,11.360468
1398/12/10,1,17.954684,11.14054
1398/12/11,1,23.014032,11.084336
1398/12/12,1,17.871088,11.38246
1398/12/13,1,18.29594,11.309152
1398/12/14,1,18.135448,5.046108
1398/12/15,1,17.984152,11.118548
1398/12/16,1,18.611616,11.189412
1398/12/17,1,18.2716,11.318924
1398/12/18,1,14.194924,3.18406
1398/12/19,1,17.903276,11.216292
1398/12/20,1,22.878296,10.830196
1398/12/21,1,23.22048,10.524744
1398/12/22,1,16.669964,9.42022
1398/12/23,1,23.350676,11.448436
1398/12/24,1,17.848548,11.524192
1398/12/25,1,23.450432,11.455768
1398/12/26,1,22.622432,11.265164
1398/12/27,1,18.273728,11.201632
1398/12/28,1,13.332008,11.096552
1398/12/29,1,13.342216,11.157644
,1,2485.889356,2388.4233
,1,2485.889356,2495.701231
,1,2485.889356,2820.724959
,1,2485.889356,1892.989044
,1,2485.889356,2440.057686
1402/04/01,1,33.707032,21.799192
1402/04/02,1,34.217312,22.272816
1402/04/03,1,34.07778,22.182157
1402/04/04,1,33.700036,21.750653
1402/04/05,1,33.553959,21.716984
1402/04/06,1,33.185493,21.265433
1402/04/07,1,33.593352,21.890776
1402/04/08,1,30.320621,18.407893
1402/04/09,1,33.542102,21.631818
1402/04/10,1,28.880388,17.124051
1402/04/11,1,29.869827,18.074393
1402/04/12,1,33.916987,21.952942
1402/04/13,1,33.789563,21.989242
1402/04/14,1,33.642192,21.844315
1402/04/15,1,34.249551,22.468779
1402/04/16,1,34.041456,22.268014
1402/04/17,1,29.437522,17.578554
1402/04/18,1,33.749474,21.785429
1402/04/19,1,31.487674,21.999033
1402/04/20,1,31.320894,21.529242
1402/04/21,1,31.849521,22.219149
1402/04/22,1,31.478717,21.909436
1402/04/23,1,29.210808,19.52912
1402/04/24,1,26.821921,17.015608
1402/04/25,1,31.566661,21.948508
1402/04/26,1,25.330583,21.672459
1402/04/27,1,25.338901,21.954464
1402/04/28,1,31.994574,22.029423
1402/04/29,1,32.140648,21.953127
1402/04/30,1,32.938922,21.756841
1402/04/31,1,28.201393,17.104838
1402/05/01,1,24.247443,21.339515
1402/05/02,1,15.755998,12.650136
1402/05/03,1,19.607691,16.733974
1402/05/04,1,24.346222,21.540927
1402/05/05,1,19.501922,16.733282
1402/05/06,1,24.269818,21.537832
1402/05/07,1,19.372278,16.684278
1402/05/08,1,23.258455,20.602222
1402/05/09,1,23.856101,21.099678
1402/05/10,1,21.971869,20.962647
1402/05/11,1,18.532773,16.62918
1402/05/12,1,22.955235,21.239802
1402/05/13,1,22.153268,21.134271
1402/05/14,1,22.950441,21.430499
1402/05/15,1,23.536975,21.059128
1402/05/16,1,24.560748,21.183642
1402/05/17,1,24.614521,21.271626
1402/05/18,1,24.859939,21.487721
1402/05/19,1,24.737694,21.36792
1402/05/20,1,22.538804,19.447604
1402/05/21,1,24.354682,21.336791
1402/05/22,1,27.202487,19.979098
1402/05/23,1,25.589996,15.976729
1402/05/24,1,30.77382,21.324276
1402/05/25,1,29.229513,21.15085
1402/05/26,1,30.352048,21.71135
1402/05/27,1,30.459322,21.212601
1402/05/28,1,30.354071,21.082914
1402/05/29,1,30.485141,21.1309
1402/05/30,1,31.055495,21.767232
1402/05/31,1,30.29577,20.934199
1402/06/01,1,24.110875,14.275238
1402/06/02,1,12.199628,2.271133
1402/06/03,1,21.424,11.813176
1402/06/04,1,16.233172,7.609579
1402/06/05,1,17.219286,7.031764
1402/06/06,1,16.161882,5.998797
1402/06/07,1,20.880926,10.409944
1402/06/08,1,18.266381,7.152722
1402/06/09,1,33.624218,21.142122
1402/06/10,1,32.910618,21.325337
1402/06/11,1,33.009445,21.419277
1402/06/12,1,33.352299,21.723032
1402/06/13,1,33.538199,21.884496
1402/06/14,1,33.212369,21.58799
1402/06/15,1,28.45881,16.809994
1402/06/16,1,33.592564,21.860665
1402/06/17,1,27.491666,16.06522
1402/06/18,1,28.324187,16.922178
1402/06/19,1,28.839197,17.358992
1402/06/20,1,28.956817,17.549921
1402/06/21,1,28.691027,17.286575
1402/06/22,1,33.98496,22.260392
1402/06/23,1,33.573388,22.080965
1402/06/24,1,33.533725,21.884909
1402/06/25,1,24.478417,12.988438
1402/06/26,1,29.084059,17.462123
1402/06/27,1,28.66996,17.179981
1402/06/28,1,33.584065,22.123409
1402/06/29,1,28.447479,16.979492
1402/06/30,1,29.428668,17.767634
1402/06/31,1,28.913467,17.54567
1402/07/01,1,28.094944,17.247641
1402/07/02,1,24.329883,12.754375
1402/07/03,1,24.425816,12.882076
1402/07/04,1,29.266012,17.744266
1402/07/05,1,23.341548,11.83202
1402/07/06,1,20.248943,8.314221
1402/07/07,1,17.73079,6.216373
1402/07/08,1,17.746217,6.097401
1402/07/09,1,17.708998,5.793827
1402/07/10,1,17.016822,5.42421
1402/07/11,1,18.265436,6.02526
1402/07/12,1,18.645539,5.782235
1402/07/13,1,17.840206,5.868831
1402/07/14,1,16.722969,4.570764
1402/07/15,1,24.509493,12.254656
1402/07/16,1,29.127441,16.699105
1402/07/17,1,33.627248,21.704745
1402/07/18,1,29.250799,17.174347
1402/07/19,1,25.000921,12.895145
